condition;test;comparison;correction;type_ci;distance;1%;5%;10%;groups;differences;ssize;normalData;ssizediff;what;runs;perm;boot;1%_perCentage;5%_perCentage;10%_perCentage
1;NPT;Eta3 ~ Eta1;BH;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;bonferroni;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;BY;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;fdr;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;hochberg;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;holm;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;hommel;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;NPT;Eta3 ~ Eta1;none;NA;NA;492;480;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.016;0.04;0.088
1;CIO;Eta3 ~ Eta1;NA;CI_basic;NA;500;492;484;2 groups;none;300;TRUE;equal;path;500;1000;1000;0;0.016;0.032
1;CIO;Eta3 ~ Eta1;NA;CI_bca;NA;500;496;489;2 groups;none;300;TRUE;equal;path;500;1000;1000;0;0.008;0.022
1;CIO;Eta3 ~ Eta1;NA;CI_percentile;NA;500;498;493;2 groups;none;300;TRUE;equal;path;500;1000;1000;0;0.004;0.014
1;CIO;Eta3 ~ Eta1;NA;CI_standard_z;NA;500;497;489;2 groups;none;300;TRUE;equal;path;500;1000;1000;0;0.006;0.022
1;CIP;Eta3 ~ Eta1;NA;CI_basic;NA;473;444;412;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.054;0.112;0.176
1;CIP;Eta3 ~ Eta1;NA;CI_bca;NA;478;446;421;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.044;0.108;0.158
1;CIP;Eta3 ~ Eta1;NA;CI_percentile;NA;483;452;422;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.034;0.096;0.156
1;CIP;Eta3 ~ Eta1;NA;CI_standard_z;NA;480;443;416;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.04;0.114;0.168
1;NBT;Eta3 ~ Eta1;none;NA;NA;497;482;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.006;0.036;0.074
1;PTE;Eta3 ~ Eta1;BH;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;bonferroni;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;BY;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;fdr;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;hochberg;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;holm;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;hommel;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTE;Eta3 ~ Eta1;none;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;NDT;overall;NA;NA;dG;496;483;452;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.096
1;NDT;overall;NA;NA;dL;495;475;456;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.01;0.05;0.088
1;PTU;Eta3 ~ Eta1;BH;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;bonferroni;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;BY;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;fdr;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;hochberg;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;holm;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;hommel;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;PTU;Eta3 ~ Eta1;none;NA;NA;496;483;463;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.008;0.034;0.074
1;OTG;Eta3 ~ Eta1;BH;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;bonferroni;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;BY;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;fdr;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;hochberg;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;holm;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;hommel;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
1;OTG;Eta3 ~ Eta1;none;NA;NA;45;32;23;2 groups;none;300;TRUE;equal;path;500;1000;1000;0.91;0.936;0.954
10;NPT;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;BY;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;fdr;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;hochberg;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;holm;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;hommel;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NPT;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;CIO;Eta3 ~ Eta1;NA;CI_basic;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;CIO;Eta3 ~ Eta1;NA;CI_bca;NA;3;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;0.994;1;1
10;CIO;Eta3 ~ Eta1;NA;CI_percentile;NA;4;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;0.992;1;1
10;CIO;Eta3 ~ Eta1;NA;CI_standard_z;NA;4;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;0.992;1;1
10;CIP;Eta3 ~ Eta1;NA;CI_basic;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;CIP;Eta3 ~ Eta1;NA;CI_bca;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;CIP;Eta3 ~ Eta1;NA;CI_percentile;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;CIP;Eta3 ~ Eta1;NA;CI_standard_z;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NBT;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;BY;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;fdr;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;hochberg;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;holm;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;hommel;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTE;Eta3 ~ Eta1;none;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;NDT;overall;NA;NA;dG;8;2;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;0.984;0.996;1
10;NDT;overall;NA;NA;dL;35;5;1;2 groups;large;600;TRUE;equal;path;500;1000;1000;0.93;0.99;0.998
10;PTU;Eta3 ~ Eta1;BH;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
10;PTU;Eta3 ~ Eta1;bonferroni;NA;NA;0;0;0;2 groups;large;600;TRUE;equal;path;500;1000;1000;1;1;1
